strategy,category,coverage
zero_shot,access_control,0.0
zero_shot,accessibility,0.0
zero_shot,agv_handshake,0.05
zero_shot,agv_signaling,0.4
zero_shot,boarding,0.6
zero_shot,collision_avoidance,0.6
zero_shot,contact_safety,0.2
zero_shot,delivery,0.5
zero_shot,door_interaction,0.35
zero_shot,door_safety,0.75
zero_shot,dynamic_obstacle,0.2
zero_shot,electrical_safety,1.0
zero_shot,emergency_request,0.5
zero_shot,emergency_response,0.05
zero_shot,emergency_stop,0.15
zero_shot,energy_management,0.2
zero_shot,fault_handling,0.2
zero_shot,fire_response,0.16666666666666666
zero_shot,fleet_communication,0.05
zero_shot,functional_safety,0.2
zero_shot,general_operation,0.25
zero_shot,geofence,0.0
zero_shot,gps_degrade,1.0
zero_shot,gps_jam,0.7
zero_shot,gps_loss,0.5
zero_shot,gps_spoof,0.0
zero_shot,gust,0.0
zero_shot,landing_pad,0.3
zero_shot,link_loss,0.1
zero_shot,load_protection,0.15
zero_shot,maintenance_mode,0.05
zero_shot,manual_task,1.0
zero_shot,movement_control,0.2
zero_shot,moving_target,0.35
zero_shot,path_crossing,0.5
zero_shot,power_management,0.8
zero_shot,request_call,1.0
zero_shot,safety_interlock,0.0
zero_shot,safety_stop,0.05
zero_shot,safety_zone,0.3
zero_shot,seismic_response,0.7
zero_shot,ssm,0.0
zero_shot,static_obstacle,0.0
zero_shot,throughput,0.0
zero_shot,traffic_advisory,0.0
zero_shot,traffic_management,0.4
zero_shot,turbulence,0.4
zero_shot,visibility,0.0
zero_shot,wind,0.16666666666666666
few_shot_generic,access_control,0.0
few_shot_generic,accessibility,0.3
few_shot_generic,agv_handshake,0.25
few_shot_generic,agv_signaling,0.3
few_shot_generic,boarding,0.4
few_shot_generic,collision_avoidance,0.4
few_shot_generic,contact_safety,0.0
few_shot_generic,delivery,0.3
few_shot_generic,door_interaction,0.4
few_shot_generic,door_safety,0.95
few_shot_generic,dynamic_obstacle,0.0
few_shot_generic,electrical_safety,1.0
few_shot_generic,emergency_request,0.9
few_shot_generic,emergency_response,0.25
few_shot_generic,emergency_stop,0.5
few_shot_generic,energy_management,0.1
few_shot_generic,fault_handling,0.9
few_shot_generic,fire_response,0.5
few_shot_generic,fleet_communication,0.0
few_shot_generic,functional_safety,0.8
few_shot_generic,general_operation,0.65
few_shot_generic,geofence,0.0
few_shot_generic,gps_degrade,1.0
few_shot_generic,gps_jam,0.7
few_shot_generic,gps_loss,0.5
few_shot_generic,gps_spoof,0.2
few_shot_generic,gust,0.1
few_shot_generic,landing_pad,0.1
few_shot_generic,link_loss,0.3
few_shot_generic,load_protection,0.45
few_shot_generic,maintenance_mode,0.1
few_shot_generic,manual_task,1.0
few_shot_generic,movement_control,0.6
few_shot_generic,moving_target,0.55
few_shot_generic,path_crossing,0.1
few_shot_generic,power_management,0.4
few_shot_generic,request_call,1.0
few_shot_generic,safety_interlock,0.0
few_shot_generic,safety_stop,0.2
few_shot_generic,safety_zone,0.1
few_shot_generic,seismic_response,1.0
few_shot_generic,ssm,0.1
few_shot_generic,static_obstacle,0.0
few_shot_generic,throughput,0.0
few_shot_generic,traffic_advisory,0.06666666666666667
few_shot_generic,traffic_management,0.6
few_shot_generic,turbulence,0.9
few_shot_generic,visibility,0.4
few_shot_generic,wind,0.1
proposed,access_control,0.0
proposed,accessibility,0.4
proposed,agv_handshake,0.7
proposed,agv_signaling,0.5
proposed,boarding,1.0
proposed,collision_avoidance,0.8
proposed,contact_safety,0.3
proposed,delivery,0.5
proposed,door_interaction,1.0
proposed,door_safety,0.95
proposed,dynamic_obstacle,0.6
proposed,electrical_safety,1.0
proposed,emergency_request,1.0
proposed,emergency_response,1.0
proposed,emergency_stop,0.65
proposed,energy_management,0.3
proposed,fault_handling,1.0
proposed,fire_response,0.9
proposed,fleet_communication,0.35
proposed,functional_safety,0.7
proposed,general_operation,1.0
proposed,geofence,0.0
proposed,gps_degrade,1.0
proposed,gps_jam,1.0
proposed,gps_loss,0.45
proposed,gps_spoof,0.0
proposed,gust,0.4
proposed,landing_pad,0.6
proposed,link_loss,0.15
proposed,load_protection,0.5
proposed,maintenance_mode,0.75
proposed,manual_task,0.8
proposed,movement_control,1.0
proposed,moving_target,0.85
proposed,path_crossing,0.5
proposed,power_management,0.9
proposed,request_call,1.0
proposed,safety_interlock,0.2
